"","date","outbrk_days","case","case_incrs","death","test","test_pos","hos","residential","grocery","park","retail","transit","workplace","punemp","ppov","pincome","pnoveh","puninsur","page65","black_deaths","white_deaths"
"90",2020-04-20,91,785481,25833,38955,4044605,19.4204625668019,56629,16.3095805323278,-12.2651382542794,18.3484921848198,-30.6346170544779,-32.8350098458901,-39.27039342339,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,23.1,9.4
"91",2020-04-21,92,811767,26286,41383,4197027,19.3414767167331,59660,17.2590639758441,-10.5300423611684,16.6551997538539,-31.1113761409227,-30.6398014621313,-40.5256065878856,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,23.1,9.4
"92",2020-04-22,93,841065,29298,43445,4520777,18.6044345916642,59062,17.3705230807696,-9.85437680185952,11.9899269849099,-31.2929362503862,-30.3036742211837,-40.7159383519141,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,23.1,9.4
"93",2020-04-23,94,872848,31783,45207,4713021,18.5199259668056,58833,18.3592883082288,-10.7833987627565,6.78774729413961,-33.459620016785,-32.2462491371238,-40.8538169252094,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,23.1,9.4
"94",2020-04-24,95,906655,33807,47064,4948399,18.3221886513193,57126,19.0158922428646,-11.4881935366692,5.47656501746294,-34.2964568344445,-33.3823813609209,-39.8279697908733,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,23.1,9.4
"95",2020-04-25,96,942524,35869,48772,5224391,18.0408395925956,57238,10.9390648075461,-8.36014475969665,34.7082109981746,-34.3515539309931,-29.8488983208062,-27.8930770280416,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,23.1,9.4
"96",2020-04-26,97,969838,27314,49958,5430527,17.8590033711277,56038,9.51279768885083,-11.6498252854452,22.83020161975,-33.1353324150175,-34.4226003954986,-31.8549889252797,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,23.1,9.4
"97",2020-04-27,98,992420,22582,51195,5625851,17.6403534327518,56048,15.78766106832,-8.95381948023964,15.1401298337633,-27.0558894811412,-30.2300765467543,-37.5305261566453,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,28.4,10.7
"98",2020-04-28,99,1017627,25207,53235,5832336,17.4480173981746,56120,9.92394031542261,-6.23314129083847,28.0740477270551,-26.0531482002856,-26.6160698857926,-39.1592926063394,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,28.4,10.7
"99",2020-04-29,100,1044232,26605,55927,6070569,17.2015506289443,56081,16.1575172229025,-5.21799297967099,22.3675562301134,-25.1301292689538,-26.3404235223631,-39.231422845198,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,28.4,10.7
"100",2020-04-30,101,1073689,29457,58038,6302556,17.0357708840667,54913,16.7676325192465,-4.4352647054741,16.3090381135605,-26.0352684005837,-27.7375158098658,-39.2216517617727,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,34.7,13.1
"101",2020-05-01,102,1106709,33020,59791,6596627,16.7768921905089,54922,16.2034442522967,-1.54910177734498,32.5875830912767,-24.4167315345684,-25.2736180898526,-37.5195326092478,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,34.7,13.1
"102",2020-05-02,103,1135710,29001,61329,6843050,16.5965468614141,54091,8.53239146712989,-0.0920706222235299,64.9477677340724,-26.1169287751469,-21.182596168704,-24.8233028575758,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,34.7,13.1
